# Cargo registry dependency license metadata from crate Cargo.toml
# Format: crate	version	license	license-file	repository	homepage
ab_glyph	0.2.32	Apache-2.0		https://github.com/alexheretic/ab-glyph	
ab_glyph_rasterizer	0.1.10	Apache-2.0		https://github.com/alexheretic/ab-glyph	
accesskit	0.21.1	MIT OR Apache-2.0		https://github.com/AccessKit/accesskit	
accesskit_atspi_common	0.14.2	MIT OR Apache-2.0		https://github.com/AccessKit/accesskit	
accesskit_consumer	0.31.0	MIT OR Apache-2.0		https://github.com/AccessKit/accesskit	
accesskit_macos	0.22.2	MIT OR Apache-2.0		https://github.com/AccessKit/accesskit	
accesskit_unix	0.17.2	MIT OR Apache-2.0		https://github.com/AccessKit/accesskit	
accesskit_windows	0.29.2	MIT OR Apache-2.0		https://github.com/AccessKit/accesskit	
accesskit_winit	0.29.2	Apache-2.0		https://github.com/AccessKit/accesskit	
adler2	2.0.1	0BSD OR MIT OR Apache-2.0		https://github.com/oyvindln/adler2	
ahash	0.8.12	MIT OR Apache-2.0		https://github.com/tkaitchuck/ahash	
aligned	0.4.3	MIT OR Apache-2.0		https://github.com/rust-embedded-community/aligned	
aligned-vec	0.6.4	MIT		https://github.com/sarah-ek/aligned-vec/	
android-activity	0.6.1	MIT OR Apache-2.0		https://github.com/rust-mobile/android-activity	https://github.com/rust-mobile/android-activity
android-properties	0.2.2	MIT		https://github.com/miklelappo/android-properties	https://github.com/miklelappo/android-properties
android_system_properties	0.1.5	MIT/Apache-2.0		https://github.com/nical/android_system_properties	https://github.com/nical/android_system_properties
anyhow	1.0.102	MIT OR Apache-2.0		https://github.com/dtolnay/anyhow	
arbitrary	1.4.2	MIT OR Apache-2.0		https://github.com/rust-fuzz/arbitrary/	
arboard	3.6.1	MIT OR Apache-2.0		https://github.com/1Password/arboard	
arg_enum_proc_macro	0.3.4	MIT		https://github.com/lu-zero/arg_enum_proc_macro	
arrayref	0.3.9	BSD-2-Clause		https://github.com/droundy/arrayref	
arrayvec	0.7.6	MIT OR Apache-2.0		https://github.com/bluss/arrayvec	
as-raw-xcb-connection	1.0.1	MIT OR Apache-2.0		https://github.com/psychon/as-raw-xcb-connection	
as-slice	0.2.1	MIT OR Apache-2.0		https://github.com/japaric/as-slice	
ash	0.38.0+1.3.281	MIT OR Apache-2.0		https://github.com/ash-rs/ash	
async-broadcast	0.7.2	MIT OR Apache-2.0		https://github.com/smol-rs/async-broadcast	
async-channel	2.5.0	Apache-2.0 OR MIT		https://github.com/smol-rs/async-channel	
async-executor	1.14.0	Apache-2.0 OR MIT		https://github.com/smol-rs/async-executor	
async-io	2.6.0	Apache-2.0 OR MIT		https://github.com/smol-rs/async-io	
async-lock	3.4.2	Apache-2.0 OR MIT		https://github.com/smol-rs/async-lock	
async-process	2.5.0	Apache-2.0 OR MIT		https://github.com/smol-rs/async-process	
async-recursion	1.1.1	MIT OR Apache-2.0		https://github.com/dcchut/async-recursion	
async-signal	0.2.14	Apache-2.0 OR MIT		https://github.com/smol-rs/async-signal	
async-task	4.7.1	Apache-2.0 OR MIT		https://github.com/smol-rs/async-task	
async-trait	0.1.89	MIT OR Apache-2.0		https://github.com/dtolnay/async-trait	
atomic-waker	1.1.2	Apache-2.0 OR MIT		https://github.com/smol-rs/atomic-waker	
atspi	0.25.0	Apache-2.0 OR MIT		https://github.com/odilia-app/atspi	https://github.com/odilia-app/atspi
atspi-common	0.9.0	Apache-2.0 OR MIT		https://github.com/odilia-app/atspi	
atspi-connection	0.9.0	Apache-2.0 OR MIT		https://github.com/odilia-app/atspi/	
atspi-proxies	0.9.0	Apache-2.0 OR MIT		https://github.com/odilia-app/atspi	https://github.com/odilia-app/atspi
autocfg	1.5.0	Apache-2.0 OR MIT		https://github.com/cuviper/autocfg	
av-data	0.4.4	MIT			https://github.com/rust-av/rust-av
av-scenechange	0.14.1	MIT		https://github.com/rust-av/av-scenechange	
av1-grain	0.2.5	BSD-2-Clause		https://github.com/rust-av/av1-grain	https://github.com/rust-av/av1-grain
avif-serialize	0.8.9	BSD-3-Clause		https://github.com/kornelski/avif-serialize	https://lib.rs/avif-serialize
base64	0.22.1	MIT OR Apache-2.0		https://github.com/marshallpierce/rust-base64	
bit-set	0.8.0	Apache-2.0 OR MIT		https://github.com/contain-rs/bit-set	https://github.com/contain-rs/bit-set
bit-vec	0.8.0	Apache-2.0 OR MIT		https://github.com/contain-rs/bit-vec	https://github.com/contain-rs/bit-vec
bit_field	0.10.3	Apache-2.0/MIT		https://github.com/phil-opp/rust-bit-field	
bitflags	1.3.2	MIT/Apache-2.0		https://github.com/bitflags/bitflags	https://github.com/bitflags/bitflags
bitflags	2.11.1	MIT OR Apache-2.0		https://github.com/bitflags/bitflags	https://github.com/bitflags/bitflags
bitreader	0.3.11	MIT OR Apache-2.0		https://github.com/irauta/bitreader	https://github.com/irauta/bitreader
bitstream-io	4.10.0	MIT/Apache-2.0		https://github.com/tuffy/bitstream-io	https://github.com/tuffy/bitstream-io
block	0.1.6	MIT		http://github.com/SSheldon/rust-block	
block2	0.5.1	MIT		https://github.com/madsmtm/objc2	
blocking	1.6.2	Apache-2.0 OR MIT		https://github.com/smol-rs/blocking	
built	0.8.0	MIT		https://github.com/lukaslueg/built	
bumpalo	3.20.2	MIT OR Apache-2.0		https://github.com/fitzgen/bumpalo	
byte-slice-cast	1.2.3	MIT		https://github.com/sdroege/bytes-num-slice-cast	
bytemuck	1.25.0	Zlib OR Apache-2.0 OR MIT		https://github.com/Lokathor/bytemuck	
bytemuck_derive	1.10.2	Zlib OR Apache-2.0 OR MIT		https://github.com/Lokathor/bytemuck	
byteorder	1.5.0	Unlicense OR MIT		https://github.com/BurntSushi/byteorder	https://github.com/BurntSushi/byteorder
byteorder-lite	0.1.0	Unlicense OR MIT		https://github.com/image-rs/byteorder-lite	https://github.com/image-rs/byteorder-lite
bytes	1.11.1	MIT		https://github.com/tokio-rs/bytes	
calloop	0.13.0	MIT		https://github.com/Smithay/calloop	
calloop	0.14.4	MIT		https://github.com/Smithay/calloop	
calloop-wayland-source	0.3.0	MIT		https://github.com/smithay/calloop-wayland-source	
calloop-wayland-source	0.4.1	MIT		https://github.com/smithay/calloop-wayland-source	
cc	1.2.62	MIT OR Apache-2.0		https://github.com/rust-lang/cc-rs	https://github.com/rust-lang/cc-rs
cfg-expr	0.20.7	MIT OR Apache-2.0		https://github.com/EmbarkStudios/cfg-expr	https://github.com/EmbarkStudios/cfg-expr
cfg-if	1.0.4	MIT OR Apache-2.0		https://github.com/rust-lang/cfg-if	
cfg_aliases	0.2.1	MIT		https://github.com/katharostech/cfg_aliases	https://github.com/katharostech/cfg_aliases
cgl	0.3.2	MIT / Apache-2.0		https://github.com/servo/cgl-rs	
clipboard-win	5.4.1	BSL-1.0		https://github.com/DoumanAsh/clipboard-win	
codespan-reporting	0.12.0	Apache-2.0		https://github.com/brendanzab/codespan	https://github.com/brendanzab/codespan
color_quant	1.1.0	MIT		https://github.com/image-rs/color_quant.git	
combine	4.6.7	MIT		https://github.com/Marwes/combine	
concurrent-queue	2.5.0	Apache-2.0 OR MIT		https://github.com/smol-rs/concurrent-queue	
core-foundation	0.10.1	MIT OR Apache-2.0		https://github.com/servo/core-foundation-rs	
core-foundation	0.9.4	MIT OR Apache-2.0		https://github.com/servo/core-foundation-rs	https://github.com/servo/core-foundation-rs
core-foundation-sys	0.8.7	MIT OR Apache-2.0		https://github.com/servo/core-foundation-rs	https://github.com/servo/core-foundation-rs
core-graphics	0.23.2	MIT OR Apache-2.0		https://github.com/servo/core-foundation-rs	https://github.com/servo/core-foundation-rs
core-graphics-types	0.1.3	MIT OR Apache-2.0		https://github.com/servo/core-foundation-rs	https://github.com/servo/core-foundation-rs
core-graphics-types	0.2.0	MIT OR Apache-2.0		https://github.com/servo/core-foundation-rs	https://github.com/servo/core-foundation-rs
