# Registry dependencies without a copied license file
# Format: crate	version	reason
accesskit	0.21.1	no license file in crate source
accesskit_atspi_common	0.14.2	no license file in crate source
accesskit_consumer	0.31.0	no license file in crate source
accesskit_macos	0.22.2	no license file in crate source
accesskit_unix	0.17.2	no license file in crate source
accesskit_windows	0.29.2	no license file in crate source
accesskit_winit	0.29.2	no license file in crate source
atspi-proxies	0.9.0	no license file in crate source
block	0.1.6	no license file in crate source
block2	0.5.1	no license file in crate source
clipboard-win	5.4.1	no license file in crate source
dispatch	0.2.0	no license file in crate source
dispatch2	0.3.1	no license file in crate source
ecolor	0.33.3	no license file in crate source
eframe	0.33.3	no license file in crate source
egui	0.33.3	no license file in crate source
egui-wgpu	0.33.3	no license file in crate source
egui-winit	0.33.3	no license file in crate source
egui_glow	0.33.3	no license file in crate source
emath	0.33.3	no license file in crate source
epaint	0.33.3	no license file in crate source
epaint_default_fonts	0.33.3	no license file in crate source
gl_generator	0.14.0	no license file in crate source
gpu-alloc	0.6.0	no license file in crate source
gpu-alloc-types	0.3.0	no license file in crate source
gpu-descriptor	0.3.2	no license file in crate source
gpu-descriptor-types	0.2.0	no license file in crate source
hexf-parse	0.2.1	no license file in crate source
jni	0.22.4	no license file in crate source
jni-macros	0.22.4	no license file in crate source
jni-sys-macros	0.4.1	no license file in crate source
khronos_api	3.1.0	no license file in crate source
malloc_buf	0.0.6	no license file in crate source
ndk	0.9.0	no license file in crate source
ndk-context	0.1.1	no license file in crate source
ndk-sys	0.6.0+11769913	no license file in crate source
objc-sys	0.3.5	no license file in crate source
objc2	0.5.2	no license file in crate source
objc2	0.6.4	no license file in crate source
objc2-app-kit	0.2.2	no license file in crate source
objc2-app-kit	0.3.2	no license file in crate source
objc2-cloud-kit	0.2.2	no license file in crate source
objc2-contacts	0.2.2	no license file in crate source
objc2-core-data	0.2.2	no license file in crate source
objc2-core-foundation	0.3.2	no license file in crate source
objc2-core-graphics	0.3.2	no license file in crate source
objc2-core-image	0.2.2	no license file in crate source
objc2-core-location	0.2.2	no license file in crate source
objc2-encode	4.1.0	no license file in crate source
objc2-foundation	0.2.2	no license file in crate source
objc2-foundation	0.3.2	no license file in crate source
objc2-io-surface	0.3.2	no license file in crate source
objc2-link-presentation	0.2.2	no license file in crate source
objc2-metal	0.2.2	no license file in crate source
objc2-quartz-core	0.2.2	no license file in crate source
objc2-symbols	0.2.2	no license file in crate source
objc2-ui-kit	0.2.2	no license file in crate source
objc2-uniform-type-identifiers	0.2.2	no license file in crate source
objc2-user-notifications	0.2.2	no license file in crate source
profiling	1.0.17	no license file in crate source
profiling-procmacros	1.0.18	no license file in crate source
r-efi	5.3.0	no license file in crate source
r-efi	6.0.0	no license file in crate source
simd_helpers	0.1.0	no license file in crate source
spirv	0.3.0+sdk-1.3.268.0	no license file in crate source
wasip3	0.4.0+wasi-0.3.0-rc-2026-01-06	no license file in crate source
wasm-encoder	0.244.0	no license file in crate source
wasm-metadata	0.244.0	no license file in crate source
wasmparser	0.244.0	no license file in crate source
windows	0.58.0	no license file in crate source
windows	0.61.3	no license file in crate source
windows-collections	0.2.0	no license file in crate source
windows-core	0.58.0	no license file in crate source
windows-core	0.61.2	no license file in crate source
windows-future	0.2.1	no license file in crate source
windows-implement	0.58.0	no license file in crate source
windows-implement	0.60.2	no license file in crate source
windows-interface	0.58.0	no license file in crate source
windows-interface	0.59.3	no license file in crate source
windows-link	0.1.3	no license file in crate source
windows-link	0.2.1	no license file in crate source
windows-numerics	0.2.0	no license file in crate source
windows-result	0.2.0	no license file in crate source
windows-result	0.3.4	no license file in crate source
windows-strings	0.1.0	no license file in crate source
windows-strings	0.4.2	no license file in crate source
windows-sys	0.52.0	no license file in crate source
windows-sys	0.59.0	no license file in crate source
windows-sys	0.60.2	no license file in crate source
windows-sys	0.61.2	no license file in crate source
windows-targets	0.52.6	no license file in crate source
windows-targets	0.53.5	no license file in crate source
windows-threading	0.1.0	no license file in crate source
windows_aarch64_gnullvm	0.52.6	no license file in crate source
windows_aarch64_gnullvm	0.53.1	no license file in crate source
windows_aarch64_msvc	0.52.6	no license file in crate source
windows_aarch64_msvc	0.53.1	no license file in crate source
windows_i686_gnu	0.52.6	no license file in crate source
windows_i686_gnu	0.53.1	no license file in crate source
windows_i686_gnullvm	0.52.6	no license file in crate source
windows_i686_gnullvm	0.53.1	no license file in crate source
windows_i686_msvc	0.52.6	no license file in crate source
windows_i686_msvc	0.53.1	no license file in crate source
windows_x86_64_gnu	0.52.6	no license file in crate source
windows_x86_64_gnu	0.53.1	no license file in crate source
windows_x86_64_gnullvm	0.52.6	no license file in crate source
windows_x86_64_gnullvm	0.53.1	no license file in crate source
windows_x86_64_msvc	0.52.6	no license file in crate source
windows_x86_64_msvc	0.53.1	no license file in crate source
wit-component	0.244.0	no license file in crate source
wit-parser	0.244.0	no license file in crate source
zune-inflate	0.2.54	no license file in crate source
